# matrix=Flan_1565
# rows=1564794
# nnz_total=59485419
# nnz_per_row=38.0149
P,iter,rank,comm_us,comp_us,total_us,gflops,nnz
1,0,0,3.57627868652344,85092.0677185059,85095.6439971924,1.39808376094933,59485419
1,1,0,2.14576721191406,85251.8081665039,85253.9539337158,1.39548762855619,59485419
1,2,0,2.14576721191406,84899.4255065918,84901.5712738037,1.40127957839937,59485419
1,3,0,1.9073486328125,84819.0784454346,84820.9857940674,1.40261088557546,59485419
1,4,0,1.9073486328125,85178.6136627197,85180.5210113525,1.39669065870287,59485419
1,5,0,1.66893005371094,84860.3248596191,84861.9937896729,1.40193309969672,59485419
1,6,0,1.66893005371094,84936.6188049316,84938.2877349854,1.40067384418201,59485419
1,7,0,2.14576721191406,85388.6604309082,85390.8061981201,1.39325113905084,59485419
1,8,0,5.24520874023438,85250.3776550293,85255.6228637695,1.39546031104722,59485419
1,9,0,2.38418579101562,84763.5269165039,84765.9111022949,1.40352219958359,59485419
2,0,0,4871.60682678223,45502.6626586914,50374.2694854736,2.36173822896444,59485419
2,1,0,4404.06799316406,45455.6941986084,49859.7621917725,2.38610921452874,59485419
2,2,0,4310.36949157715,45252.799987793,49563.1694793701,2.40038801492547,59485419
2,3,0,4221.20094299316,45222.0439910889,49443.244934082,2.40621015385646,59485419
2,4,0,4277.70614624023,45224.1897583008,49501.895904541,2.40335922142098,59485419
2,5,0,4246.47331237793,45224.666595459,49471.1399078369,2.40485337959947,59485419
2,6,0,4236.45973205566,45126.19972229,49362.6594543457,2.41013833766459,59485419
2,7,0,4255.29479980469,45367.0024871826,49622.2972869873,2.39752781520654,59485419
2,8,0,4245.04280090332,45180.7975769043,49425.8403778076,2.40705746408347,59485419
2,9,0,4199.02801513672,45186.5196228027,49385.5476379395,2.40902133701567,59485419
2,0,1,4802.94227600098,44706.5830230713,49509.5252990723,2.40298886489686,59485419
2,1,1,4383.08715820312,44636.0111236572,49019.0982818604,2.42703032430169,59485419
