# matrix=msc10848
# rows=10848
# nnz_total=620313
# nnz_per_row=57.1822
P,iter,rank,comm_us,comp_us,total_us,gflops,nnz
1,0,0,1.43051147460938,657.796859741211,659.22737121582,1.88193945544448,620313
1,1,0,0.238418579101562,661.373138427734,661.611557006836,1.87515769164108,620313
1,2,0,0.476837158203125,660.181045532227,660.65788269043,1.8778645233865,620313
1,3,0,0.476837158203125,654.220581054688,654.697418212891,1.8949608864909,620313
1,4,0,0.238418579101562,658.035278320312,658.273696899414,1.88466591608258,620313
1,5,0,0.476837158203125,660.65788269043,661.134719848633,1.87651013137541,620313
1,6,0,0.476837158203125,658.750534057617,659.22737121582,1.88193945544448,620313
1,7,0,0.238418579101562,659.704208374023,659.942626953125,1.87989978117919,620313
1,8,0,0.476837158203125,659.704208374023,660.181045532227,1.87922087190466,620313
1,9,0,0.476837158203125,659.22737121582,659.704208374023,1.88057918117239,620313
2,0,0,29.3254852294922,434.87548828125,464.200973510742,2.67260533862558,620313
2,1,0,23.8418579101562,454.425811767578,478.267669677734,2.59399929925424,620313
2,2,0,23.3650207519531,453.472137451172,476.837158203125,2.601781297152,620313
2,3,0,24.0802764892578,451.087951660156,475.168228149414,2.6109195154561,620313
2,4,0,24.0802764892578,445.127487182617,469.207763671875,2.64408668409756,620313
2,5,0,24.3186950683594,426.292419433594,450.611114501953,2.75320772185397,620313
2,6,0,23.1266021728516,430.583953857422,453.710556030273,2.73439968171519,620313
2,7,0,24.5571136474609,425.577163696289,450.13427734375,2.75612425545763,620313
2,8,0,22.6497650146484,424.385070800781,447.03483581543,2.7752333836288,620313
2,9,0,24.3186950683594,432.968139648438,457.286834716797,2.71301490839625,620313
2,0,1,26.2260437011719,436.305999755859,462.532043457031,2.68224875995052,620313
2,1,1,23.1266021728516,423.908233642578,447.03483581543,2.7752333836288,620313
2,2,1,22.88818359375,429.153442382812,452.041625976562,2.74449503918987,620313
2,3,1,23.1266021728516,426.769256591797,449.895858764648,2.75758484064865,620313
2,4,1,23.3650207519531,430.583953857422,453.948974609375,2.73296354742857,620313
2,5,1,23.3650207519531,428.438186645508,451.803207397461,2.74594332153245,620313
2,6,1,22.88818359375,430.822372436523,453.710556030273,2.73439968171519,620313
2,7,1,23.6034393310547,426.769256591797,450.372695922852,2.75466521667761,620313
2,8,1,22.1729278564453,425.100326538086,447.273254394531,2.77375404813646,620313
2,9,1,23.8418579101562,431.77604675293,455.617904663086,2.72295269194348,620313
4,0,0,37.1932983398438,289.9169921875,327.110290527344,3.79268410663557,620313
4,1,0,36.2396240234375,286.81755065918,323.057174682617,3.84026759727232,620313
4,2,0,36.0012054443359,298.738479614258,334.739685058594,3.70624116403419,620313
4,3,0,35.0475311279297,296.831130981445,331.878662109375,3.73819151889655,620313
4,4,0,36.2396240234375,311.136245727539,347.375869750977,3.57142250810158,620313
4,5,0,35.0475311279297,313.520431518555,348.567962646484,3.55920834083721,620313
4,6,0,35.2859497070312,305.652618408203,340.938568115234,3.63885496105175,620313
4,7,0,35.0475311279297,308.036804199219,343.084335327148,3.61609631292842,620313
4,8,0,36.0012054443359,306.606292724609,342.607498168945,3.62112915400418,620313
4,9,0,36.9548797607422,291.347503662109,328.302383422852,3.77891255940741,620313
4,0,1,41.2464141845703,290.155410766602,331.401824951172,3.7435702117295,620313
4,1,1,38.3853912353516,300.407409667969,338.79280090332,3.66190189606193,620313
4,2,1,37.4317169189453,320.4345703125,357.866287231445,3.46673057581879,620313
4,3,1,40.5311584472656,310.420989990234,350.9521484375,3.53502893634783,620313
4,4,1,38.3853912353516,313.758850097656,352.144241333008,3.52306201374678,620313
4,5,1,39.8159027099609,303.983688354492,343.799591064453,3.60857322767268,620313
4,6,1,38.8622283935547,298.500061035156,337.362289428711,3.67742939526784,620313
4,7,1,40.0543212890625,317.33512878418,357.389450073242,3.47135596684723,620313
4,8,1,39.8159027099609,316.143035888672,355.958938598633,3.4853064931708,620313
4,9,1,38.3853912353516,310.420989990234,348.806381225586,3.55677552584005,620313
4,0,2,35.2859497070312,285.863876342773,321.149826049805,3.86307542264588,620313
4,1,2,32.9017639160156,281.333923339844,314.235687255859,3.94807480599697,620313
4,2,2,32.9017639160156,315.90461730957,348.806381225586,3.55677552584005,620313
4,3,2,32.9017639160156,296.831130981445,329.732894897461,3.76251814483297,620313
4,4,2,35.2859497070312,306.606292724609,341.892242431641,3.62870473800837,620313
4,5,2,34.8091125488281,313.758850097656,348.567962646484,3.55920834083721,620313
4,6,2,30.7559967041016,295.877456665039,326.633453369141,3.79822087175474,620313
4,7,2,32.6633453369141,324.249267578125,356.912612915039,3.47599371696994,620313
4,8,2,33.8554382324219,318.527221679688,352.382659912109,3.52067834526658,620313
4,9,2,33.1401824951172,314.474105834961,347.614288330078,3.56897297277366,620313
4,0,3,30.0407409667969,283.241271972656,313.282012939453,3.96009329855708,620313
4,1,3,29.8023223876953,283.241271972656,313.043594360352,3.96310936352171,620313
4,2,3,27.6565551757812,325.202941894531,352.859497070312,3.51592067182703,620313
4,3,3,28.3718109130859,319.957733154297,348.329544067383,3.56164448617659,620313
4,4,3,28.6102294921875,329.494476318359,358.104705810547,3.46442249953662,620313
4,5,3,28.6102294921875,324.249267578125,352.859497070312,3.51592067182703,620313
4,6,3,27.8949737548828,302.791595458984,330.686569213867,3.75166733547513,620313
4,7,3,28.6102294921875,312.566757202148,341.176986694336,3.63631208546751,620313
4,8,3,29.0870666503906,306.367874145508,335.454940795898,3.69833873084861,620313
4,9,3,29.8023223876953,314.235687255859,344.038009643555,3.60607248392516,620313
8,0,0,37.4317169189453,139.713287353516,177.145004272461,7.00344898291252,620313
8,1,0,37.1932983398438,130.414962768555,167.608261108398,7.40193825647795,620313
8,2,0,36.7164611816406,131.130218505859,167.8466796875,7.39142413963636,620313
8,3,0,36.4780426025391,130.891799926758,167.369842529297,7.41248232806838,620313
8,4,0,37.1932983398438,130.176544189453,167.369842529297,7.41248232806838,620313
8,5,0,36.0012054443359,130.176544189453,166.177749633789,7.46565651980488,620313
8,6,0,36.2396240234375,128.984451293945,165.224075317383,7.508748332329,620313
8,7,0,38.14697265625,129.69970703125,167.8466796875,7.39142413963636,620313
8,8,0,37.4317169189453,130.653381347656,168.085098266602,7.3809398500766,620313
8,9,0,36.4780426025391,130.414962768555,166.893005371094,7.43366084900571,620313
8,0,1,36.7164611816406,150.442123413086,187.158584594727,6.62874215834904,620313
8,1,1,37.6701354980469,133.275985717773,170.94612121582,7.25740947601674,620313
8,2,1,35.2859497070312,132.79914855957,168.085098266602,7.3809398500766,620313
8,3,1,35.5243682861328,133.991241455078,169.515609741211,7.31865343783966,620313
8,4,1,37.1932983398438,133.037567138672,170.230865478516,7.28790279314286,620313
8,5,1,38.14697265625,132.79914855957,170.94612121582,7.25740947601674,620313
8,6,1,36.4780426025391,133.037567138672,169.515609741211,7.31865343783966,620313
8,7,1,38.8622283935547,133.037567138672,171.899795532227,7.21714645534535,620313
8,8,1,37.4317169189453,133.275985717773,170.707702636719,7.26754552277095,620313
8,9,1,36.2396240234375,131.845474243164,168.085098266602,7.3809398500766,620313
8,0,2,39.5774841308594,138.044357299805,177.621841430664,6.98464777758926,620313
8,1,2,36.4780426025391,137.090682983398,173.568725585938,7.14775081635165,620313
8,2,2,36.0012054443359,138.998031616211,174.999237060547,7.08932233556403,620313
8,3,2,35.5243682861328,137.567520141602,173.091888427734,7.16744158995041,620313
8,4,2,36.0012054443359,138.521194458008,174.522399902344,7.10869206872131,620313
8,5,2,36.2396240234375,139.951705932617,176.191329956055,7.04135669053315,620313
8,6,2,35.7627868652344,136.852264404297,172.615051269531,7.18724115235359,620313
8,7,2,35.2859497070312,137.805938720703,173.091888427734,7.16744158995041,620313
8,8,2,35.5243682861328,138.521194458008,174.045562744141,7.12816793740274,620313
8,9,2,35.2859497070312,138.282775878906,173.568725585938,7.14775081635165,620313
8,0,3,35.5243682861328,138.282775878906,173.807144165039,7.13794594554733,620313
8,1,3,38.3853912353516,138.521194458008,176.906585693359,7.01288759340162,620313
8,2,3,35.7627868652344,137.3291015625,173.091888427734,7.16744158995041,620313
8,3,3,37.1932983398438,139.713287353516,176.906585693359,7.01288759340162,620313
8,4,3,36.0012054443359,138.282775878906,174.283981323242,7.11841668167442,620313
8,5,3,37.6701354980469,137.3291015625,174.999237060547,7.08932233556403,620313
8,6,3,36.9548797607422,139.713287353516,176.668167114258,7.02235167922267,620313
8,7,3,35.5243682861328,138.998031616211,174.522399902344,7.10869206872131,620313
