# matrix=nlpkkt80
# rows=1062400
# nnz_total=14883536
# nnz_per_row=14.0094
P,iter,rank,comm_us,comp_us,total_us,gflops,nnz
1,0,0,2.86102294921875,21457.1952819824,21460.0563049316,1.38709198042315,14883536
1,1,0,2.14576721191406,21567.1062469482,21569.2520141602,1.38006973911093,14883536
1,2,0,1.9073486328125,21081.2091827393,21083.1165313721,1.41189145142304,14883536
1,3,0,2.14576721191406,21188.2591247559,21190.4048919678,1.40474295568006,14883536
1,4,0,1.43051147460938,21269.7982788086,21271.2287902832,1.39940537960824,14883536
1,5,0,2.38418579101562,21105.7662963867,21108.1504821777,1.41021696927607,14883536
1,6,0,1.66893005371094,21251.4400482178,21253.1089782715,1.40059847387189,14883536
1,7,0,1.9073486328125,21100.9979248047,21102.9052734375,1.41056748415907,14883536
1,8,0,1.9073486328125,21275.520324707,21277.4276733398,1.39899768228551,14883536
1,9,0,1.9073486328125,20978.2123565674,20980.1197052002,1.41882279120752,14883536
2,0,0,1830.5778503418,10275.8407592773,12106.4186096191,2.45878429945819,14883536
2,1,0,1514.19639587402,10235.5480194092,11749.7444152832,2.53342293652628,14883536
2,2,0,1379.96673583984,10082.7217102051,11462.6884460449,2.59686653267374,14883536
2,3,0,1462.93640136719,10032.4153900146,11495.3517913818,2.5894876938274,14883536
2,4,0,1474.85733032227,10137.3195648193,11612.1768951416,2.56343597490787,14883536
2,5,0,1437.42561340332,10073.4233856201,11510.8489990234,2.58600143243347,14883536
2,6,0,1468.18161010742,10134.6969604492,11602.8785705566,2.56549026338487,14883536
2,7,0,1491.06979370117,10040.9984588623,11532.0682525635,2.58124313419521,14883536
2,8,0,1447.67761230469,10083.9138031006,11531.5914154053,2.58134986990899,14883536
2,9,0,1437.66403198242,10063.8866424561,11501.5506744385,2.58809206189523,14883536
2,0,1,1759.76753234863,9824.75280761719,11584.5203399658,2.56955584922283,14883536
2,1,1,1491.78504943848,9776.11541748047,11267.9004669189,2.64175851458683,14883536
2,2,1,1447.43919372559,9845.01838684082,11292.4575805664,2.63601362127118,14883536
2,3,1,1451.73072814941,9731.76956176758,11183.500289917,2.66169546459778,14883536
2,4,1,1463.17481994629,9683.13217163086,11146.3069915771,2.67057708194238,14883536
2,5,1,1424.31259155273,9717.70286560059,11142.0154571533,2.6716056995675,14883536
2,6,1,1457.45277404785,9681.22482299805,11138.6775970459,2.6724062834797,14883536
2,7,1,1482.00988769531,9676.69486999512,11158.7047576904,2.6676099642734,14883536
2,8,1,1437.18719482422,9695.52993774414,11132.7171325684,2.6738370916582,14883536
2,9,1,1427.17361450195,9675.97961425781,11103.1532287598,2.68095660635362,14883536
4,0,0,2150.29716491699,5860.0902557373,8010.3874206543,3.71605896654229,14883536
4,1,0,2006.05392456055,5733.25157165527,7739.30549621582,3.84622005353772,14883536
4,2,0,1918.31588745117,5559.44442749023,7477.76031494141,3.98074700796735,14883536
4,3,0,2020.35903930664,5736.8278503418,7757.18688964844,3.83735398198574,14883536
4,4,0,1972.19848632812,5756.13975524902,7728.33824157715,3.85167820940577,14883536
4,5,0,1949.78713989258,5783.0810546875,7732.86819458008,3.84942187697749,14883536
4,6,0,1988.17253112793,5767.822265625,7755.99479675293,3.83794378155876,14883536
4,7,0,1978.63578796387,5786.89575195312,7765.53153991699,3.83323045524817,14883536
4,8,0,1830.10101318359,5758.76235961914,7588.86337280273,3.9224677712186,14883536
4,9,0,1868.72482299805,5795.95565795898,7664.68048095703,3.88366769808038,14883536
4,0,1,2033.71047973633,5874.3953704834,7908.10585021973,3.76412159419603,14883536
4,1,1,1833.91571044922,5809.78393554688,7643.69964599609,3.89432779656544,14883536
4,2,1,1923.0842590332,5724.43008422852,7647.51434326172,3.89238524622422,14883536
4,3,1,2025.36582946777,5639.79148864746,7665.15731811523,3.883426101334,14883536
4,4,1,2048.73085021973,5367.27905273438,7416.0099029541,4.01389323767523,14883536
4,5,1,1953.125,5224.94316101074,7178.06816101074,4.14694752575441,14883536
4,6,1,1994.60983276367,5248.5466003418,7243.15643310547,4.1096823290944,14883536
4,7,1,1984.83467102051,5232.33413696289,7217.1688079834,4.12448049809679,14883536
4,8,1,1859.42649841309,5195.61767578125,7055.04417419434,4.21926089547119,14883536
4,9,1,1890.42091369629,5212.54539489746,7102.96630859375,4.19079448032653,14883536
4,0,2,2141.95251464844,5896.56829833984,8038.52081298828,3.7030534214583,14883536
4,1,2,1829.86259460449,5802.86979675293,7632.73239135742,3.89992344467695,14883536
4,2,2,2048.25401306152,6881.7138671875,8929.96788024902,3.33339071306603,14883536
4,3,2,2053.02238464355,8984.08889770508,11037.1112823486,2.69699844809989,14883536
4,4,2,2041.57829284668,9888.4105682373,11929.988861084,2.49514667168728,14883536
4,5,2,1955.03234863281,9719.3717956543,11674.4041442871,2.54977227377952,14883536
4,6,2,1858.94966125488,9678.84063720703,11537.7902984619,2.57996299377778,14883536
4,7,2,1851.79710388184,9612.3218536377,11464.1189575195,2.59654249142933,14883536
4,8,2,1818.65692138672,9595.87097167969,11414.5278930664,2.60782331769337,14883536
4,9,2,1882.55310058594,9544.37255859375,11426.9256591797,2.60499393168686,14883536
4,0,3,2039.43252563477,5291.93878173828,7331.37130737305,4.06023249293945,14883536
4,1,3,1996.51718139648,5225.41999816895,7221.93717956543,4.12175725984246,14883536
4,2,3,2052.30712890625,5262.13645935059,7314.44358825684,4.06962903477584,14883536
4,3,3,2059.4596862793,5124.56893920898,7184.02862548828,4.14350687501288,14883536
4,4,3,1975.77476501465,5193.47190856934,7169.24667358398,4.15205018815723,14883536
4,5,3,1961.94648742676,5085.46829223633,7047.41477966309,4.22382858546933,14883536
4,6,3,1977.68211364746,5141.25823974609,7118.94035339355,4.18139084222137,14883536
4,7,3,1967.43011474609,5108.35647583008,7075.78659057617,4.20689228242766,14883536
4,8,3,1827.71682739258,5111.4559173584,6939.17274475098,4.28971479669775,14883536
4,9,3,1873.25477600098,5096.6739654541,6969.92874145508,4.27078570013984,14883536
8,0,0,1317.26264953613,3061.05613708496,4378.31878662109,6.79874478097844,14883536
8,1,0,1078.12881469727,3002.64358520508,4080.77239990234,7.29447003726852,14883536
8,2,0,1063.10844421387,2954.72145080566,4017.82989501953,7.4087437193145,14883536
8,3,0,1024.00779724121,2953.76777648926,3977.77557373047,7.48334626935315,14883536
8,4,0,1007.080078125,2932.31010437012,3939.39018249512,7.55626394467639,14883536
8,5,0,940.084457397461,2985.23902893066,3925.32348632812,7.58334239297182,14883536
8,6,0,1006.12640380859,2936.84005737305,3942.96646118164,7.54941039774386,14883536
8,7,0,1021.8620300293,2957.10563659668,3978.96766662598,7.48110426975181,14883536
8,8,0,948.905944824219,2924.91912841797,3873.82507324219,7.68415492109109,14883536
8,9,0,928.640365600586,2942.32368469238,3870.96405029297,7.68983426693077,14883536
8,0,1,1323.69995117188,2765.65551757812,4089.35546875,7.27915981564179,14883536
8,1,1,1014.47105407715,2731.3232421875,3745.79429626465,7.94679836788798,14883536
8,2,1,1041.65077209473,2709.62715148926,3751.27792358398,7.93518171843702,14883536
8,3,1,950.336456298828,2657.65190124512,3607.98835754395,8.25032374003093,14883536
8,4,1,969.886779785156,2626.18064880371,3596.06742858887,8.27767348391487,14883536
8,5,1,1196.14601135254,2702.23617553711,3898.38218688965,7.63575005552492,14883536
8,6,1,1051.42593383789,2627.61116027832,3679.03709411621,8.09099534429966,14883536
8,7,1,1025.67672729492,2701.99775695801,3727.67448425293,7.98542687290617,14883536
8,8,1,953.197479248047,2681.01692199707,3634.21440124512,8.19078587928151,14883536
8,9,1,937.223434448242,2622.36595153809,3559.58938598633,8.36250161807689,14883536
8,0,2,1273.15521240234,2716.7797088623,3989.93492126465,7.46054073247015,14883536
8,1,2,1082.18193054199,2721.30966186523,3803.49159240723,7.82624892859575,14883536
8,2,2,1066.68472290039,2707.00454711914,3773.68927001953,7.88805592354612,14883536
8,3,2,1038.3129119873,2661.94343566895,3700.25634765625,8.04459723955464,14883536
8,4,2,992.059707641602,2599.47776794434,3591.53747558594,8.28811399083165,14883536
8,5,2,993.967056274414,2637.86315917969,3631.8302154541,8.19616288044955,14883536
8,6,2,975.370407104492,2576.11274719238,3551.48315429688,8.38158896065306,14883536
8,7,2,942.94548034668,2671.71859741211,3614.66407775879,8.23508668015883,14883536
8,8,2,926.25617980957,2625.70381164551,3551.95999145508,8.3804637641219,14883536
8,9,2,938.653945922852,2551.55563354492,3490.20957946777,8.52873482873748,14883536
8,0,3,1022.1004486084,2994.53735351562,4016.63780212402,7.4109425510707,14883536
8,1,3,908.136367797852,2904.17671203613,3812.31307983398,7.80813940949894,14883536
8,2,3,913.858413696289,2913.23661804199,3827.09503173828,7.7779808844934,14883536
8,3,3,1025.43830871582,2879.14276123047,3904.58106994629,7.62362759711107,14883536
8,4,3,911.235809326172,2868.8907623291,3780.12657165527,7.87462309415881,14883536
8,5,3,1203.06015014648,2861.26136779785,4064.32151794434,7.32399537501543,14883536
8,6,3,821.352005004883,2875.80490112305,3697.15690612793,8.05134127541678,14883536
8,7,3,941.276550292969,2860.30769348145,3801.58424377441,7.83017555082396,14883536
8,8,3,877.141952514648,2850.77095031738,3727.91290283203,7.98491616512458,14883536
8,9,3,930.547714233398,2882.00378417969,3812.55149841309,7.80765112612645,14883536
8,0,4,1194.71549987793,3145.69473266602,4340.41023254395,6.85812409546213,14883536
8,1,4,991.582870483398,3065.34767150879,4056.93054199219,7.33733833791067,14883536
8,2,4,1056.19430541992,3066.3013458252,4122.49565124512,7.22064363876514,14883536
8,3,4,909.566879272461,2976.41754150391,3885.98442077637,7.66011099809117,14883536
8,4,4,973.939895629883,3012.65716552734,3986.59706115723,7.46678722312589,14883536
8,5,4,1000.64277648926,2957.82089233398,3958.46366882324,7.51985479478938,14883536
8,6,4,865.697860717773,2974.7486114502,3840.44647216797,7.75094047416737,14883536
8,7,4,984.907150268555,2958.29772949219,3943.20487976074,7.54895393662785,14883536
8,8,4,966.787338256836,2967.11921691895,3933.90655517578,7.56679691865988,14883536
8,9,4,902.414321899414,2936.60163879395,3839.01596069336,7.75382866463098,14883536
8,0,5,1116.75262451172,3158.3309173584,4275.08354187012,6.96292170865473,14883536
8,1,5,1008.74900817871,3052.4730682373,4061.22207641602,7.32958489831443,14883536
8,2,5,1052.6180267334,3070.59288024902,4123.21090698242,7.21939106961304,14883536
8,3,5,995.159149169922,2982.85484313965,3978.01399230957,7.48289776193515,14883536
8,4,5,1009.46426391602,2988.57688903809,3998.0411529541,7.44541410685718,14883536
8,5,5,1124.14360046387,2957.82089233398,4081.96449279785,7.29233976741359,14883536
