# matrix=x104
# rows=108384
# nnz_total=5138004
# nnz_per_row=47.4056
P,iter,rank,comm_us,comp_us,total_us,gflops,nnz
1,0,0,2.86102294921875,7267.95196533203,7270.81298828125,1.41332310658552,5138004
1,1,0,1.43051147460938,7215.02304077148,7216.45355224609,1.42396925658887,5138004
1,2,0,0.95367431640625,7119.41719055176,7120.37086486816,1.44318437831683,5138004
1,3,0,1.19209289550781,7078.40919494629,7079.6012878418,1.45149530068135,5138004
1,4,0,0.95367431640625,7074.83291625977,7075.78659057617,1.45227783066352,5138004
1,5,0,1.19209289550781,7045.03059387207,7046.22268676758,1.45837116662489,5138004
1,6,0,0.95367431640625,6996.39320373535,6997.34687805176,1.46855775182909,5138004
1,7,0,1.19209289550781,6985.90278625488,6987.09487915039,1.47071253185123,5138004
1,8,0,0.95367431640625,6980.89599609375,6981.84967041016,1.47181742447862,5138004
1,9,0,1.19209289550781,6981.13441467285,6982.32650756836,1.47171691109855,5138004
2,0,0,319.957733154297,3184.79537963867,3504.75311279297,2.93202050737633,5138004
2,1,0,324.96452331543,3096.10366821289,3421.06819152832,3.00374252271461,5138004
2,2,0,300.407409667969,2918.72024536133,3219.1276550293,3.19217163815968,5138004
2,3,0,292.301177978516,2825.73699951172,3118.03817749023,3.29566458620829,5138004
2,4,0,292.778015136719,2788.54370117188,3081.32171630859,3.33493511748932,5138004
2,5,0,291.585922241211,2788.06686401367,3079.65278625488,3.33674239052659,5138004
2,6,0,304.460525512695,2773.28491210938,3077.74543762207,3.33881024544364,5138004
2,7,0,300.168991088867,2758.50296020508,3058.67195129395,3.35963063827516,5138004
2,8,0,290.155410766602,2760.64872741699,3050.80413818359,3.36829489359425,5138004
2,9,0,291.585922241211,2746.1051940918,3037.69111633301,3.38283505677984,5138004
2,0,1,270.605087280273,3187.17956542969,3457.78465270996,2.97184730458746,5138004
2,1,1,277.280807495117,3110.17036437988,3387.451171875,3.03355162291892,5138004
2,2,1,257.253646850586,2933.97903442383,3191.23268127441,3.220074819457,5138004
2,3,1,246.286392211914,2746.3436126709,2992.63000488281,3.43377162670746,5138004
2,4,1,296.592712402344,2734.42268371582,3031.01539611816,3.39028564921199,5138004
2,5,1,295.162200927734,2728.22380065918,3023.38600158691,3.39884090043624,5138004
2,6,1,258.922576904297,2720.59440612793,2979.51698303223,3.44888384879827,5138004
2,7,1,250.816345214844,2711.05766296387,2961.87400817871,3.46942779187249,5138004
2,8,1,245.094299316406,2708.67347717285,2953.76777648926,3.47894918544128,5138004
2,9,1,243.186950683594,2696.03729248047,2939.22424316406,3.49616332401298,5138004
4,0,0,563.383102416992,1679.42047119141,2242.8035736084,4.58176905054024,5138004
4,1,0,413.179397583008,1578.33099365234,1991.51039123535,5.1599067949757,5138004
4,2,0,440.597534179688,1548.05183410645,1988.64936828613,5.16733023119914,5138004
4,3,0,403.165817260742,1527.78625488281,1930.95207214355,5.32173125798642,5138004
4,4,0,413.417816162109,1530.17044067383,1943.58825683594,5.28713217105397,5138004
4,5,0,408.88786315918,1531.83937072754,1940.72723388672,5.29492646909484,5138004
4,6,0,458.002090454102,1529.45518493652,1987.45727539062,5.17042963752783,5138004
4,7,0,384.092330932617,1533.26988220215,1917.36221313477,5.35945056682815,5138004
4,8,0,420.808792114258,1529.69360351562,1950.50239562988,5.2683903506212,5138004
4,9,0,440.359115600586,1547.81341552734,1988.17253112793,5.16856954771939,5138004
4,0,1,523.090362548828,1960.27755737305,2483.36791992188,4.1379321676682,5138004
4,1,1,361.68098449707,1856.56547546387,2218.24645996094,4.63249155830095,5138004
4,2,1,409.126281738281,1745.22399902344,2154.35028076172,4.76988727959628,5138004
